,Sqft,Yr Built,V,PP,price,date,address,Br,Ba,LSqft,DOM,year,month,Mor,SFR,CONDO,TWNHS,COMRES,DPLX,COOP,TPLX,MANL,QUAD,STD,TRUS,PRO,NOD,TPAP,CONS,BNKR,REO,AUC
465,3226,2016,True,False,1810000,2022-12-15,891 Isabella WAY  ,3,3.0,11746.0,70,2022,12,6.33,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
301,1278,1930,True,False,1030000,2022-12-14,516 Mitchell DR  ,2,3.0,6970.0,3,2022,12,6.33,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
193,1545,2021,True,False,825000,2022-12-13,1953 San Luis Ranch RD  ,3,4.0,2400.0,22,2022,12,6.33,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
23,1190,1982,False,False,462000,2022-12-13,3335 Broad ST   #14,2,2.0,1190.0,33,2022,12,6.33,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
361,1775,2016,False,False,1200000,2022-12-12,983 Rachel CT  ,3,3.0,6986.0,33,2022,12,6.33,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
285,1707,2020,True,False,989000,2022-12-09,3615 Park Ridge LN  ,3,3.0,3150.0,4,2022,12,6.33,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
87,1281,2016,True,False,634000,2022-12-06,945 Humbert AVE  ,2,2.0,978.0,31,2022,12,6.49,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
213,1874,2022,True,False,864000,2022-12-02,1879 San Luis Ranch RD  ,4,2.0,2400.0,36,2022,12,6.49,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
168,1497,1993,True,False,782500,2022-12-02,777 Mutsuhito AVE  ,3,2.0,1497.0,94,2022,12,6.49,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
185,1692,1977,True,False,800000,2022-12-02,1740 Portola ST  ,4,1.0,7035.0,8,2022,12,6.49,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
227,1874,2022,True,False,885000,2022-11-30,1874 San Luis Ranch RD  ,4,2.0,2700.0,36,2022,11,6.58,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
127,1078,1986,False,False,690000,2022-11-30,4008 Poinsettia ST  ,2,1.0,1078.0,4,2022,11,6.58,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
478,3060,1999,True,True,2170000,2022-11-29,6680 Via Piedra   ,2,2.0,53579.0,14,2022,11,6.58,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
110,819,2022,True,False,667990,2022-11-28,114 Earthwood LN  ,2,2.0,2649.0,36,2022,11,6.58,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
470,4465,2002,True,False,1892500,2022-11-28,190 Country Club DR  ,5,4.0,17587.0,6,2022,11,6.58,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
176,1587,1974,True,False,794000,2022-11-28,29 Los Verdes DR  ,4,3.0,4300.0,2,2022,11,6.58,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
146,1380,1961,True,False,729000,2022-11-23,1191 Atascadero ST  ,4,2.0,6300.0,1,2022,11,6.61,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
327,1794,1959,True,False,1126000,2022-11-23,1345 Oakwood CT  ,3,2.0,7000.0,6,2022,11,6.61,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
11,746,1985,False,False,420000,2022-11-22,411 E Foothill BLVD   #5,1,2.0,746.0,33,2022,11,6.61,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
153,1169,2022,True,False,749340,2022-11-17,106 Earthwood LN  ,3,3.0,3321.0,53,2022,11,7.08,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
481,3528,2000,True,False,2230000,2022-11-17,733 Greystone PL  ,5,2.0,12129.0,48,2022,11,7.08,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
149,1169,2022,True,False,732490,2022-11-16,102 Earthwood LN  ,3,4.0,4105.0,21,2022,11,7.08,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
245,1333,1927,True,False,909000,2022-11-16,681 Howard   ,3,2.0,6850.0,3,2022,11,7.08,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
484,3256,2003,True,False,2345000,2022-11-10,6011 Balm Ridge WAY  ,3,1.0,148104.0,34,2022,11,6.95,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
20,1190,1982,True,False,455000,2022-11-10,3335 Broad ST   #19,2,1.0,1190.0,31,2022,11,6.95,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
46,1190,1982,True,False,535000,2022-11-10,3335 Broad ST   #9,2,2.0,1190.0,26,2022,11,6.95,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
138,1358,2010,True,False,705000,2022-11-10,954 Tarragon LN   #1408,2,2.0,1359.0,9,2022,11,6.95,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
338,1460,1950,True,False,1150000,2022-11-07,1276 Sydney Street   ,3,3.0,6000.0,7,2022,11,6.95,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
281,1625,2021,True,False,975000,2022-11-07,3911 Kilbern   ,3,3.0,4500.0,65,2022,11,6.95,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
160,1659,2007,True,False,764500,2022-11-07,3591 Sacramento DR   #42,3,3.0,1659.0,4,2022,11,6.95,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
58,1256,1980,True,False,575000,2022-11-04,2250 King CT   #41,2,2.0,1256.0,45,2022,11,6.95,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
274,2424,1961,True,False,955500,2022-11-04,1143 Woodside DR  ,4,3.0,7150.0,33,2022,11,6.95,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
280,1340,1998,True,False,975000,2022-11-01,878 El Capitan WAY  ,3,3.0,6107.0,39,2022,11,7.08,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
188,1315,1986,True,False,812000,2022-11-01,814 Alyssum   ,2,2.0,1315.0,6,2022,11,7.08,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
392,2394,1978,True,False,1305000,2022-11-01,1735 Diablo DR  ,4,3.0,7400.0,5,2022,11,7.08,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
